URL,Failed Requests,50%,66%,75%,80%,90%,95%,98%,99%,100%
http://localhost:9393/runtime/streams/['agent']?pageable=some&assembler=laugh,0,2,3,3,3,4,5,6,7,11
http://localhost:9393/jobs/thinexecutions?pageable=product&assembler=character&taskExecutionId=12839&schemaTarget=house&name=condition&jobInstanceId=60523&fromDate=agree&toDate=instead,0,3,4,4,5,5,6,8,10,23
http://localhost:9393/jobs/instances?name=open&pageable=indicate&assembler=measure,0,4,5,5,6,7,8,10,11,19
http://localhost:9393/jobs/instances/48303?schemaTarget=step,0,5,6,7,7,8,9,11,13,23
http://localhost:9393/jobs/executions?name=without&status=data&pageable=organization&assembler=expert,0,4,5,5,5,7,8,9,10,18
http://localhost:9393/jobs/executions/40853/steps?schemaTarget=fish&pageable=city&assembler=anyone,0,4,4,5,5,6,7,8,9,19
http://localhost:9393/jobs/executions/7616/steps/28828?schemaTarget=after,0,3,4,4,4,5,6,8,8,18
http://localhost:9393/jobs/executions/9515/steps/9176/progress?schemaTarget=name,0,3,4,4,5,6,7,8,9,14
http://localhost:9393/jobs/executions/36515?schemaTarget=former,0,4,5,6,6,7,9,10,12,38
"http://localhost:9393/audit-records?pageable=support&actions=['ability', 'middle', 'language']&operations=['argue', 'good']&fromDate=record&toDate=top&assembler=detail",0,6,7,7,8,9,11,13,15,30
http://localhost:9393/audit-records/47902,0,4,4,5,5,6,8,9,10,19
http://localhost:9393/audit-records/audit-operation-types,0,3,3,3,4,4,5,7,8,12
http://localhost:9393/audit-records/audit-action-types,0,3,3,3,4,4,5,7,8,11
http://localhost:9393/about,0,12,15,18,19,25,30,35,39,70
http://localhost:9393/streams/deployments,0,4,4,5,6,7,8,11,12,42
http://localhost:9393/streams/logs/information,0,7,8,10,10,13,16,19,21,39
http://localhost:9393/streams/logs/type,0,6,8,9,10,12,15,17,19,38
http://localhost:9393/streams/logs/agreement,0,6,8,9,10,12,15,21,34,208
http://localhost:9393/streams/logs/new,0,7,8,9,10,13,17,29,49,200
http://localhost:9393/streams/logs/rest/enter,0,7,8,9,10,13,17,28,59,268
http://localhost:9393/streams/logs/garden/couple,0,6,8,9,10,13,16,28,45,237
http://localhost:9393/streams/logs/candidate/animal,0,7,8,9,10,13,16,22,37,198
http://localhost:9393/streams/logs/economic/under,0,6,8,9,10,12,15,21,30,205
http://localhost:9393/runtime/apps?pageable=dark&assembler=within,0,10,12,13,13,16,19,33,64,276
http://localhost:9393/runtime/apps?pageable=story&assembler=success,0,9,11,12,13,15,19,33,58,107
http://localhost:9393/runtime/apps?pageable=kitchen&assembler=civil,0,8,9,10,11,13,16,28,51,80
http://localhost:9393/runtime/apps?pageable=raise&assembler=hair,0,8,9,10,10,12,15,29,37,94
http://localhost:9393/runtime/apps/nature,0,5,6,7,7,9,12,19,26,59
http://localhost:9393/runtime/apps/military,0,5,6,7,8,10,13,20,30,88
http://localhost:9393/runtime/apps/none,0,5,6,7,7,9,12,16,28,52
