URL,Failed Requests,50%,66%,75%,80%,90%,95%,98%,99%,100%,Bottleneck Length,Average Memory Usage (MB),Average Network Usage (MBps)
/streams/deployments/manifest/TV/53220,0,160,187,248,269,350,443,572,685,1496,0.0,73.62315622521808,7.932612281685746
/apps,0,197,240,284,311,395,488,633,782,3211,0.0,73.6389668367347,83.83622185753823
/apps?pageable=doctor&pagedResourcesAssembler=career&type=help&search=election&version=series&defaultVersion=False,0,199,238,282,308,399,497,625,760,1454,0.0,73.63533882203926,83.41870865560907
/jobs/executions/1095/steps/49658/progress?schemaTarget=share,0,33,38,41,44,52,63,84,100,1120,0.0,73.24758064516129,8.609074622127492
/audit-records/audit-action-types,0,35,40,43,46,54,65,87,100,1133,0.0,73.20807692307692,7.895079461497356
/audit-records/audit-operation-types,0,36,41,44,46,54,65,87,100,1120,0.0,73.20490566037735,7.8622562249874575
/streams/deployments,0,39,45,49,51,60,72,95,105,1095,0.0,73.17815699658703,7.417533594934222
/tasks/executions?pageable=in&assembler=speak&name=true,0,197,277,337,379,500,615,809,969,3325,0.0,73.58428899082568,274.53114791798964
/streams/definitions/summer,0,159,197,249,267,351,454,564,668,1549,0.0,73.48595238095238,7.221046689374451
/streams/deployments/history/want,0,163,211,263,286,388,482,627,775,1725,0.0,73.4722263041881,7.165527978388636
/tasks/ctr/options,0,227,243,254,261,284,305,334,353,1429,0.0,73.53628048780487,7.750139585904772
/streams/definitions/bank,0,161,217,258,279,376,485,621,707,1644,0.0,73.4412471825695,6.978231122897617
/streams/definitions/such/related?pageable=wear&nested=True&assembler=when,0,169,233,266,287,381,475,606,723,1450,0.0,73.42203147353362,6.924894908220567
/streams/logs/prepare,0,64,85,104,119,167,217,295,360,1663,0.0,73.10000000000001,6.5479961510464495
/streams/logs/issue,0,64,86,104,119,165,216,300,372,1223,0.0,73.09836867862968,6.542221620806711
/streams/logs/class,0,65,87,107,120,167,215,295,353,1089,0.0,73.0873977086743,6.452341481018372
/streams/logs/simply/question,0,65,87,107,120,165,214,305,373,1083,0.0,73.08230519480519,6.434090074540999
/streams/logs/two,0,65,88,108,122,168,222,311,380,1571,0.0,73.08765822784811,6.516665070525453
/streams/logs/mean/some,0,65,87,106,118,165,222,304,365,1068,0.0,73.07821138211382,6.4265016181367765
/streams/logs/tree/father,0,64,86,105,117,161,209,284,345,713,0.0,73.03566666666667,6.156863043516079
/streams/logs/idea/door,0,63,84,101,115,156,201,263,318,1222,0.0,73.02150170648464,6.084524439879858
/about,0,79,107,129,147,206,264,356,429,1814,0.0,73.05318860244233,6.4376202896043875
/runtime/apps/yes,0,58,75,90,100,141,185,239,278,510,0.0,72.95727788279774,5.6121636654285165
/runtime/apps/year,0,57,73,88,98,135,171,226,269,634,0.0,72.94366471734892,5.5793520149842895
/runtime/apps/member,0,54,70,84,94,128,165,218,257,673,0.0,72.93793103448276,5.56759476566594
/runtime/apps/guy,0,54,68,83,94,129,165,211,248,507,0.0,72.93706720977596,5.561270067491803
