URL,Success,50%,66%,75%,80%,90%,95%,98%,99%,100%,Bottleneck Length,Average Memory Usage (MB),Average Network Usage (MBps)
/streams/definitions/provide/applications,0,3,4,5,5,6,7,9,9,14,3.899,71.4,9.028024215679055
/security/info,0,2,3,3,3,4,4,4,5,7,2.546,71.44444444444444,13.149458185798286
/schema/versions,0,3,3,4,4,5,7,8,9,14,3.197,71.45833333333333,9.32207356833831
/schema/targets,0,3,3,3,4,4,5,6,7,11,2.865,71.47272727272728,15.914275343541032
/schema/targets/hard,0,3,4,4,5,6,8,9,9,13,3.721,71.5,9.09355630252223
"/runtime/streams?names=['long', 'may', 'quality']&pageable=open&assembler=through",0,,,,,,,,,,,71.5,0.0
"/runtime/streams/['include', 'lead', 'describe', 'risk', 'Congress']?pageable=economy&assembler=remain",0,,,,,,,,,,,71.5,0.0
/jobs/thinexecutions?pageable=subject&assembler=teacher&taskExecutionId=57519&schemaTarget=art&name=although&jobInstanceId=4828&fromDate=bag&toDate=fish,0,3,3,4,4,4,5,5,6,17,3.105,71.55454545454545,11.293799162124856
/jobs/instances?name=book&pageable=follow&assembler=off,0,4,4,5,5,6,7,9,9,13,3.985,71.65714285714286,8.65064163513849
/jobs/instances/21230?schemaTarget=happy,0,5,6,6,7,8,9,10,11,30,5.46,71.77,6.486312897200349
/jobs/executions?name=decade&status=care&pageable=return&assembler=instead,0,,,,,,,,,,,71.8,8.510811245307615
/jobs/executions/49131/steps?schemaTarget=education&pageable=pretty&assembler=cut,0,3,4,4,4,6,7,8,9,12,3.539,71.78461538461538,9.940339250993677
/jobs/executions/40809/steps/3658?schemaTarget=so,0,3,4,5,5,7,8,9,9,17,3.844,71.80714285714285,9.06421131197364
/jobs/executions/16670/steps/25405/progress?schemaTarget=skill,0,3,3,3,4,5,5,6,7,18,2.991,71.8,11.83682011489459
/jobs/executions/66316?schemaTarget=need,0,4,4,5,5,6,8,10,12,25,4.272,71.87333333333335,8.192065878428762
"/audit-records?pageable=factor&actions=['more', 'so', 'room', 'painting']&operations=['music', 'own', 'nor']&fromDate=detail&toDate=rest&assembler=offer",0,5,6,6,7,8,9,10,12,28,5.388,71.9,85.48088123473576
/audit-records/52679,0,3,4,4,5,6,7,8,9,45,3.858,71.9,8.810419305596154
/audit-records/audit-operation-types,0,2,3,3,3,3,4,4,5,21,2.363,71.8777777777778,15.777458016049426
/audit-records/audit-action-types,0,3,3,4,4,6,8,9,9,15,3.227,71.8,19.678952039556407
/about,0,9,11,13,15,18,22,27,31,56,10.396,71.83783783783784,10.079524471980232
/streams/deployments,0,4,5,5,6,7,8,9,10,25,4.36,71.7875,7.845364553366705
/streams/logs/instead,0,6,7,8,9,10,12,15,17,30,6.496,71.73913043478261,5.2660441958981785
/streams/logs/thought,0,6,7,8,9,11,13,16,18,28,6.775,71.60416666666667,5.347407645342726
/streams/logs/miss,0,6,7,8,9,11,13,15,17,42,6.593,71.47083333333333,5.466397328253
/streams/logs/real,0,6,7,8,9,11,13,16,20,36,6.492,71.56086956521739,5.236024821334667
/streams/logs/today/leader,0,6,7,8,9,11,13,15,17,33,6.651,71.44166666666668,5.14267403304133
/streams/logs/worker/medical,0,6,7,8,9,11,13,15,18,29,6.614,71.58749999999999,5.509971594723765
/streams/logs/force/serve,0,6,7,8,9,11,13,15,18,32,6.565,71.5,5.513422851964742
/streams/logs/play/soldier,0,6,7,8,9,11,13,16,18,33,6.771,71.5,5.046355512070838
/runtime/apps?pageable=purpose&assembler=perform,0,7,8,9,9,10,12,14,15,26,7.392,71.48461538461538,4.714105781069564
/runtime/apps?pageable=idea&assembler=experience,0,7,8,9,10,12,15,27,40,109,8.385,71.5,4.369839253305678
/runtime/apps?pageable=compare&assembler=national,0,7,8,9,10,12,17,38,53,67,8.776,71.5,4.205499340722945
/runtime/apps?pageable=issue&assembler=single,0,7,8,9,10,13,18,41,58,325,9.745,71.5,3.5623222207179506
/runtime/apps/past,0,5,6,6,7,9,12,21,36,159,6.272,71.47727272727273,5.385861176620342
/runtime/apps/knowledge,0,5,6,6,7,9,12,26,44,146,6.163,71.5,5.8663841176308615
/runtime/apps/idea,0,5,6,6,7,9,12,28,33,63,6.009,71.5,5.95762630516333
/runtime/apps/each,0,5,6,7,7,9,12,21,35,102,6.139,71.5,5.501025478525319
/runtime/apps/laugh/instances?pageable=produce&assembler=interesting,0,5,6,7,7,9,13,18,56,205,6.777,71.52083333333333,5.143444874030415
/runtime/apps/space/instances?pageable=himself&assembler=image,0,,,,,,,,,,,71.6,5.31510304122506
/runtime/apps/level/instances?pageable=western&assembler=show,0,5,6,7,8,10,13,28,38,59,6.327,71.6,5.833853024935542
/runtime/apps/their/instances?pageable=game&assembler=from,0,4,5,6,7,9,11,15,22,135,5.81,71.58095238095237,5.9787917827123165
/runtime/apps/soldier/instances/mother,0,5,6,7,7,9,13,19,37,68,5.885,71.6,5.882774165986742
/runtime/apps/stay/instances/still,0,4,5,6,6,8,11,16,32,70,5.524,71.55499999999999,6.581315386256236
/runtime/apps/discussion/instances/image,0,4,5,6,7,9,10,16,25,133,5.755,71.57619047619048,6.399762488358572
/runtime/apps/share/instances/under,0,5,5,6,7,9,10,15,23,154,5.859,71.58571428571429,5.877274561464874
/completions/task?start=where&detailLevel=57665,0,222,230,236,240,252,269,294,309,426,225.504,71.4026649746193,0.13020626219216272
/completions/task?start=little&detailLevel=50413,0,227,235,241,245,256,266,280,299,405,229.415,71.35343320848939,0.13719387524216733
/completions/task?start=many&detailLevel=69968,0,223,231,236,240,249,256,265,272,373,224.877,71.13375796178345,0.13979217850500875
/completions/task?start=where&detailLevel=4112,0,225,233,238,241,250,258,269,279,380,226.418,70.78394437420985,0.12989127632151373
/completions/stream?start=person&detailLevel=38520,0,226,234,239,242,251,259,270,278,480,227.455,70.84622166246852,0.12982305399793032
/completions/stream?start=door&detailLevel=8844,0,222,230,235,238,247,255,264,271,431,223.782,70.87289002557544,0.14064685134429628
/completions/stream?start=industry&detailLevel=13431,0,227,235,241,244,253,262,273,284,434,228.53,70.91942355889725,0.1385333697470243
/completions/stream?start=may&detailLevel=67155,0,223,231,235,239,248,256,266,272,403,224.994,70.96781170483462,0.1307374891912045
/,0,6,7,7,8,9,10,12,13,30,6.12,71.18181818181819,43.75008531398374
/,0,6,6,7,7,9,10,12,13,33,6.056,71.37272727272727,44.53552708469785
/,0,6,6,7,7,9,10,12,14,37,6.145,71.49090909090908,43.418128520138794
